Name,ID,Salary
Ro Ch,16711119-3954,61412
Ph As,16560609-6138,65622
Ca Cu,16450127-1664,84546
Ha Ma,16810220-6854,97292
Be Ka,16860414-7325,94484
Co Ra,16320423-1926,59279
Ha Mo,16661105-4765,47367
Od Aa,16000420-0291,84849
Mc Pa,16360115-8573,27388
Al Ke,16871017-9162,30365
Sh Zo,16510617-6877,84936
Mi Pe,16700220-7236,33157
Co Wi,16471109-8709,43666
Fa Ra,16520102-9427,40426
Pa Le,16110812-8263,74910
Ho Em,16001012-1432,81639
Mc Ki,16350405-5108,68546
Lo Aq,16570627-5400,51788
De Ju,16060410-3325,20803
Ho He,16080306-7271,25188
Sc Ch,16861129-5992,99769
Sh Ol,16840516-8108,38870
Ga Te,16160825-0013,58284
We Da,16460107-2244,91976
Ga Gr,16991208-9258,37861
Ca Sy,16230224-3965,60323
