CC,No,Money,City,Phone,Fraud
5110 0000 0000 0000,1.61E+12,"$6,871 ",Amlwch,070 2858 8300,1
5294 4409 1242 9950,1.68E+12,"$7,965 ",North Saanich,07588 093717,1
5380 0000 0000 0000,1.65E+12,"$7,927 ",Amlwch,0800 236 8313,1
5530 0000 0000 0000,1.63E+12,"$9,525 ",Ajax,(0116) 834 5299,0
5570 0000 0000 0000,1.63E+12,"$7,008 ",Pont-Saint-Martin,(016977) 0477,1
5150 0000 0000 0000,1.65E+12,"$5,138 ",Amlwch,0500 593141,0
514515 2300050725,1.65E+12,"$6,921 ",Ajax,0800 1111,0
5288 2331 4441 1377,1.64E+12,"$7,821 ",Pont-Saint-Martin,0933 242 2375,1
538649 550458 1435,1.68E+12,"$7,426 ",Canoas,0845 46 45,1
522306 558047 9692,1.65E+12,"$7,344 ",Canoas,0800 852603,1
5550 1327 4484 1754,1.65E+12,"$6,693 ",Canoas,(01355) 368432,0
550 79633 54907 624,1.62E+12,"$5,232 ",Pont-Saint-Martin,(01451) 77519,1
546 50115 21042 865,1.65E+12,"$7,195 ",Canoas,055 6438 1285,0
514335 6396358379,1.67E+12,"$6,510 ",Amlwch,0500 694887,1
536 87207 25565 301,1.65E+12,"$8,732 ",Pont-Saint-Martin,07624 938809,1
5439 2445 5214 8318,1.61E+12,"$6,388 ",Ajax,0800 1111,0
532574 492550 7022,1.64E+12,"$8,998 ",North Saanich,(0116) 137 4669,1
541396 349107 2871,1.64E+12,"$9,866 ",Ajax,0314 054 2939,1
5280 0000 0000 0000,1.62E+12,"$7,230 ",Amlwch,0994 657 8764,0
5547 0141 4489 2387,1.68E+12,"$8,465 ",Amlwch,056 9233 4876,1
5120 0000 0000 0000,1.67E+12,"$5,688 ",North Saanich,(0113) 567 6366,1
559 15545 35988 463,1.63E+12,"$5,197 ",Amlwch,(01372) 478008,1
5354 3467 6664 5145,1.62E+12,"$7,686 ",Canoas,(017190) 55782,0
555050 081263 0475,1.61E+12,"$7,844 ",Canoas,07657 666044,0
5421 7446 1911 1597,1.64E+12,"$9,195 ",Ajax,0846 419 9942,0
5190 0000 0000 0000,1.63E+12,"$7,396 ",Pont-Saint-Martin,0986 269 1176,1
